buy_index,rent_index,cpi,pir,move_population,subway,department_store,apart_brand,marry,unsold
-0.180470851,-1.077214921,0.515988407,-0.813728243,0.459490197,0.016810513,0.520220998,-0.174160087,-0.095962503,-0.298022947
-0.208998542,-1.064703799,0.857832562,-1.094282574,0.747952654,0.016810513,0.520220998,-0.174160087,-0.095962503,-0.298022947
-0.223262387,-1.058448238,1.19126305,-0.74358966,0.164471775,0.016810513,0.520220998,-0.043828585,-0.095962503,-0.298022947
-0.323109306,-1.07095936,-1.648297468,-0.077273125,0.469979741,0.016810513,0.520220998,-0.043828585,-0.095962503,-0.298022947
-0.408692379,-1.095981605,-1.271448306,0.30848908,0.10940167,0.016810513,0.520220998,-0.043828585,-0.095962503,-0.298022947
-0.422956224,-1.108492728,-0.493028343,1.185221364,0.389996969,0.016810513,0.520220998,-0.043828585,-0.095962503,-0.298022947
-0.408692379,-1.114748289,0.180792087,0.063004041,0.475224513,0.016810513,0.520220998,-0.043828585,-0.095962503,-0.298022947
-0.408692379,-1.114748289,0.55338248,-0.708520369,0.844980935,0.016810513,0.520220998,-0.043828585,-0.095962503,-0.298022947
-0.422956224,-1.127259411,0.894187911,-1.094282574,0.248388126,0.016810513,0.520220998,-0.36965734,-0.095962503,-0.298022947
-0.43722007,-1.146026095,1.251509058,-0.708520369,0.260188863,0.016810513,0.520220998,-0.043828585,-0.095962503,-0.298022947
-0.422956224,-1.152281656,-1.531025499,0.694251285,0.380818618,0.016810513,0.520220998,-0.043828585,-0.095962503,-0.298022947
-0.43722007,-1.152281656,-1.0849973,0.133142623,0.235276196,0.016810513,0.520220998,-0.043828585,-0.095962503,-0.298022947
-0.422956224,-1.139770534,-0.403801928,1.816468608,0.700749707,0.016810513,0.520220998,-0.043828585,-0.11361287,-0.243956091
-0.422956224,-1.127259411,0.310009385,0.939736324,0.669281075,0.016810513,0.520220998,-0.043828585,-0.11361287,-0.243956091
-0.380164688,-1.114748289,0.704205243,-0.708520369,0.194629214,0.016810513,0.520220998,-0.043828585,-0.11361287,-0.243956091
