price_index,강남구_12,강남구_3,강남구_6,강동구_12,강동구_3,강동구_6,강북구_12,강북구_3,강북구_6,강서구_12,강서구_3,강서구_6,관악구_12,관악구_3,관악구_6,광진구_12,광진구_3,광진구_6,구로구_12,구로구_3,구로구_6,금천구_12,금천구_3,금천구_6,노원구_12,노원구_3,노원구_6,도봉구_12,도봉구_3,도봉구_6,동대문구_12,동대문구_3,동대문구_6,동작구_12,동작구_3,동작구_6,마포구_12,마포구_3,마포구_6,서대문구_12,서대문구_3,서대문구_6,서울전체_12,서울전체_3,서울전체_6,서초구_12,서초구_3,서초구_6,성동구_12,성동구_3,성동구_6,성북구_12,성북구_3,성북구_6,송파구_12,송파구_3,송파구_6,양천구_12,양천구_3,양천구_6,영등포구_12,영등포구_3,영등포구_6,용산구_12,용산구_3,용산구_6,은평구_12,은평구_3,은평구_6,종로구_12,종로구_3,종로구_6,중구_12,중구_3,중구_6,중랑구_12,중랑구_3,중랑구_6
-0.887805874,0.338220242,0.063116575,0.241218062,0.154057938,-0.312422688,-0.048579909,-0.922561231,0.969038215,0.74618821,-0.122567764,0.488455805,0.363889192,-0.818209781,0.050293416,-0.029978631,0.269586247,0.17917919,0.248538539,-0.922021152,-0.012053638,-0.130340432,-1.701282058,0.130295564,-0.303379798,-1.936059029,0.753838515,0.644545448,-0.796477305,0.944526223,0.857240721,-1.5691129,-0.260950134,-0.367125243,-0.005834068,0.093587958,0.102498536,-0.610309319,-0.295303138,-0.364698796,-1.381793565,-0.164470788,-0.391278979,-0.696050079,0.130102489,0.122015457,-0.073300566,-0.292785199,-0.189331726,-0.207902288,-0.125653583,-0.077069157,-1.390971376,0.011029615,-0.238252283,0.970400587,0.23541307,0.473202314,0.709999997,0.245085619,0.377434394,-0.629562404,-0.261728863,-0.310192881,0.335025957,0.512906022,0.520869991,-0.437709136,0.668547735,0.397738436,-1.910605611,-0.702090713,-1.110584295,-0.903892747,-0.306785994,-0.243604181,-2.179362873,-0.007570528,-0.307379168
-1.312641771,0.319504498,0.023253475,0.198088395,0.087694519,-0.371629695,-0.195016955,-0.598855536,0.969038215,0.977401458,-0.122567764,0.538849182,0.528403143,-0.733000729,0.068347462,0.090509648,0.294680712,0.17917919,0.266861549,-0.894550847,0.022740369,-0.052608119,-1.604075859,0.250173191,0.013269097,-1.77430355,0.753838515,0.797114914,-0.679838369,0.980400794,1.031961411,-1.373758692,-0.208283601,-0.290526832,0.043667111,0.108544937,0.169789485,-0.610309319,-0.267378491,-0.302978842,-1.214469001,-0.164470788,-0.224721035,-0.647106327,0.130102489,0.193940358,-0.113386813,-0.32145951,-0.204878026,-0.138766135,-0.125653583,-0.077069157,-1.236366414,0.043199325,-0.046855039,0.89187106,0.192180237,0.395281444,0.688182614,0.200017335,0.393947149,-0.564047981,-0.261728863,-0.233763801,0.387934737,0.547874048,0.578897948,-0.259052346,0.794944336,0.628598225,-1.910605611,-0.652833535,-1.031752894,-0.903892747,-0.306785994,-0.243604181,-1.984680334,0.036590886,-0.041332284
-1.454253737,0.338220242,-0.083048124,0.154958729,0.087694519,-0.534448964,-0.243829304,-0.390759018,0.969038215,1.082498389,-0.052813752,0.471658013,0.601520454,-0.534179607,0.086401509,0.150753788,0.269586247,-0.38378645,-0.539350879,-0.784669629,-0.116435657,-0.169206589,-1.409663462,0.390030422,0.097708802,-1.396874099,0.588393473,0.373310843,-0.516543859,0.78309065,0.54662616,-1.251662313,-0.120506045,-0.252227626,0.068417701,-0.175637674,-0.318069899,-0.567641002,-0.127755258,-0.364698796,-1.094951456,-0.181364339,-0.354266102,-0.524746946,0.097431012,-0.093759246,-0.09334369,-0.364470976,-0.73345223,-0.184856904,-0.244414776,-0.258546988,-0.971329337,-0.117649227,-0.238252283,0.832973914,0.033659849,-0.259253867,0.622730463,0.365267709,0.162768582,-0.54220984,0.012435303,-0.142048904,0.493752298,0.268129834,0.153359599,-0.139947819,0.647481635,0.628598225,-1.668647415,-0.037118802,-0.40110168,-0.615196964,-0.124697858,-0.268699534,-1.876523367,-0.095893357,-0.130014578
-1.369286558,0.338220242,-0.308939023,0.126205618,0.065573379,-0.75647524,-0.27637087,-0.159540664,0.949140099,1.124537161,0.133196947,0.370871259,0.656358438,-0.420567537,-0.076084911,0.170835168,0.269586247,0.013601061,0.266861549,-0.757199324,0.005343365,0.083423429,-1.288155714,0.390030422,0.245478286,-1.073363142,0.65457149,0.881875728,-0.399904923,0.872777079,1.109615051,-1.129565933,-0.208283601,-0.175629215,0.142669469,0.108544937,0.186612223,-0.524972685,-0.407001724,-0.241258889,-0.903723383,-0.19825789,-0.07666953,-0.426859441,-0.016919158,0.229902809,-0.09334369,-0.636876932,-0.251516927,-0.161811519,-0.140498733,-0.060571172,-0.838810798,-0.00505524,0.109742705,0.813341532,-0.211326206,0.301776399,0.622730463,-0.145506173,0.32789613,-0.498533558,-0.275437071,-0.203192169,0.573115469,0.442969968,0.636925904,-0.080395556,0.752812136,0.813286056,-1.547668317,-0.628204945,-0.637595885,-0.551042346,-0.466113113,-0.243604181,-1.811629187,0.014510179,0.113861732
-1.369286558,0.394367476,-0.707570019,0.083075952,0.109815659,-1.156122537,-0.341454002,-0.043931487,0.630770255,1.124537161,0.388961658,-0.267444851,0.656358438,0.033880742,-0.653814405,0.190916548,0.344869641,-0.483133328,0.266861549,-0.537436888,-0.064244648,0.122289585,-0.826426271,0.330091609,0.372137844,-0.300531409,0.406403927,0.881875728,-0.049988115,0.693404221,1.148441871,-0.763276795,-0.278505646,-0.118180406,0.192170648,-0.070938817,0.20343496,-0.482304368,-0.588511928,-0.210398912,-0.73639882,-0.248938543,-0.07666953,-0.157668803,-0.245619497,0.229902809,-0.09334369,-0.937957199,-0.282609527,-0.023539214,-0.244414776,-0.060571172,-0.573773721,-0.101564372,0.144542204,0.79370915,-0.499545093,0.255023877,0.66636523,-0.400893114,0.278357866,-0.433019136,-0.330269905,-0.203192169,0.758296201,0.128257727,0.675611209,0.068485103,0.668547735,0.951801929,-1.335954896,-0.702090713,-0.585041617,-0.358578491,-0.625440233,-0.243604181,-1.314107142,-0.07381265,0.158202879
-1.270158182,0.45051471,-0.840447018,-0.031936491,0.154057938,-1.126519033,-0.520432614,0.71908908,0.590974024,1.124537161,0.64472637,0.253286712,0.583241126,0.232701864,-0.148301098,0.190916548,0.445247498,-0.002956752,0.230215529,-0.152852623,-0.760124778,0.141722664,-0.486204575,-1.468072797,0.519907328,0.59811014,-1.612025582,0.864923565,0.929778946,-0.651892217,1.129028461,-0.348149105,-1.208947739,-0.118180406,0.340674185,-0.175637674,0.20343496,-0.354299417,-0.602474251,-0.287548854,-0.473460219,-1.059829,-0.07666953,0.233881217,-0.588670005,0.175959133,-0.073300566,-0.249773732,-0.391433628,0.068642323,-0.333485671,-0.060571172,-0.242477374,-0.986231408,0.127142454,0.813341532,0.480399124,0.130350485,0.644547847,0.275131142,0.162768582,-0.28015215,-0.577017654,-0.203192169,0.864113762,0.128257727,0.694953861,0.425798684,-0.321558971,0.997973887,-1.063751926,-1.662605696,-0.558764483,-0.198191946,-0.693723284,-0.293794888,-0.51374559,-2.281883366,0.158202879
-1.241835789,0.469230455,-0.760720819,-0.276337933,0.109815659,-1.037708523,-0.764494358,1.065916611,0.491483448,1.103517775,0.853988406,0.219691127,0.473565159,0.403119969,-0.166355145,0.010184128,0.520530892,-0.599038019,0.083631452,0.094380118,-0.23821468,0.102856507,-0.097379781,0.190234377,0.519907328,0.921621097,0.075513844,0.780162751,1.256367966,0.496094077,1.031961411,-0.177214174,-0.366283202,-0.118180406,0.390175364,-0.325207469,0.20343496,-0.268962783,-0.700210514,-0.364698796,-0.234425128,-0.299619197,-0.113682406,0.405184351,-0.392641143,0.068071781,-0.073300566,-1.196026,-0.624628129,0.114733092,-0.318640522,-0.077069157,-0.043699566,-0.310667489,0.092342956,0.715179623,-0.686887369,-0.181332997,0.644547847,-0.445961398,-0.101435493,-0.192799586,-0.398810946,-0.218477985,0.917022542,-0.029098394,0.559555295,0.723560001,0.605349435,0.905629971,-1.033507151,-0.751347892,-0.558764483,-0.069882709,-0.670962267,-0.419271655,-0.059486332,-0.140054771,0.136032306
-1.128546216,0.413083221,-0.760720819,-0.707634595,-0.0892746,-0.978501516,-1.203805497,1.3202568,0.372094756,0.767207596,0.946993756,0.219691127,-0.221049301,0.459926004,-0.220517285,-0.63242003,0.545625356,-0.599038019,-0.466058841,0.204261336,-0.307802693,0.025124194,0.267143464,0.050377146,0.456577549,1.083376576,0.009335827,0.525880309,1.46631805,0.244972075,0.83782731,-0.07953707,-0.366283202,-0.194778817,0.489177722,-0.399992366,0.001562111,-0.18362615,-0.714172837,-0.565288644,-0.019293547,-0.316512748,-0.16920172,0.503071856,-0.42531262,-0.183665372,-0.09334369,-1.196026,-0.951100431,0.114733092,-0.333485671,-0.192555049,0.199251089,-0.358922055,-0.012055541,0.617017714,-0.730120202,-0.493016479,0.66636523,-0.415915876,-0.382152324,-0.083608882,-0.439935571,-0.279621249,0.996385713,-0.081550434,0.211387556,1.021321318,0.521085034,0.813286056,-0.942772828,-0.726719303,-0.637595885,-0.069882709,-0.64820125,-0.594939129,0.200090388,-0.184216185,0.047350011
-0.958611857,0.356935987,-0.66770692,-0.851400148,-0.15563802,-0.741673488,-1.171263931,1.435865976,0.352196641,0.725168823,0.946993756,0.219691127,0.345609864,0.488329021,-0.274679425,-0.070141391,0.545625356,-0.565922393,0.065308442,0.314142555,-0.307802693,-0.752198936,0.461555861,0.030397541,-1.443315819,1.173240731,-0.023753181,-1.542283558,1.536301412,0.209097503,-0.618178443,0.066978585,-0.366283202,-1.209707768,0.513928311,-0.399992366,-0.11619705,-0.119623674,-0.644361221,-0.580718632,0.100223999,-0.333406299,-1.057510753,0.552015608,-0.376305405,-0.561271103,-0.133429937,-1.052654444,-0.204878026,0.137778476,-0.303795373,-0.291542957,0.35385605,-0.37500691,-0.969041757,0.558120569,-0.658065481,0.566707359,0.66636523,-0.295733786,0.360921639,-0.0399326,-0.398810946,-0.554765937,1.049294494,-0.081550434,0.211387556,1.199978109,0.457886734,-0.271754951,-0.640325083,-0.529690588,-1.662404107,-0.069882709,-0.625440233,-0.670225189,0.308247354,-0.2283776,-2.169707356
-0.859483481,0.319504498,-0.64113152,-0.765140816,-0.199880299,-0.697268233,-1.073639234,1.482109647,0.332298525,0.620071893,1.016747768,0.23648892,0.309051208,0.516732039,-0.274679425,-0.090222771,0.545625356,-0.599038019,-0.594319909,0.396553468,-0.325199696,-0.169206589,0.53446051,0.030397541,0.308808065,1.173240731,-0.023753181,0.186837052,1.559629199,0.173222932,0.6242798,0.066978585,-0.34872769,-0.290526832,0.513928311,-0.385035387,-0.284424424,-0.098289516,-0.574549604,-0.688728551,0.171934526,-0.367193402,-0.224721035,0.552015608,-0.343633928,-0.3454964,-0.15347306,-1.009642977,-1.230933833,0.137778476,-0.318640522,-0.275044972,0.398028897,-0.391091765,-0.238252283,0.499223423,-0.614832648,-0.695610742,0.579095696,-0.145506173,-0.431690588,-0.0399326,-0.371394529,-0.356050329,1.075748884,-0.046582407,0.037303686,1.259530372,0.478952834,0.744028119,-0.48910121,-0.505061999,-0.690150153,-0.069882709,-0.534396164,-0.645129836,0.351510141,-0.250458307,-0.01916171
