yyyymm,buy_index,sgg,rent_index,cpi,pir,move_population,subway,department_store,apart_brand,marry,unsold
201404,71.7,강남구,84.9,89.965,27.6,542,25,4,12,3560,0
201405,71.7,강남구,84.9,96.185,25.8,571,25,4,12,3560,43
201406,71.6,강남구,85,99.47,21.4,77,25,4,13,3560,35
201407,71.7,강남구,85.2,103.28,21.2,437,25,4,13,3560,50
201408,71.9,강남구,85.4,74.728,26.1,1014,25,4,13,3560,36
201409,72.5,강남구,86,79.626,26.2,701,25,4,13,3560,20
201410,72.8,강남구,86.4,86.106,27.1,682,25,4,13,3560,18
201411,72.8,강남구,86.9,92.039,29.3,611,25,4,13,3560,15
201412,72.7,강남구,87.5,97.069,24.9,365,25,4,14,3560,13
201501,72.9,강남구,88,100.36,21.3,418,25,4,14,3380,12
201502,73,강남구,88.4,103.57,23.6,214,25,4,14,3380,8
201503,73.5,강남구,89.3,76.233,27.2,-608,28,4,14,3380,6
201504,73.9,강남구,90.2,79.861,24.3,-507,28,4,14,3380,5
201505,74.2,강남구,90.7,87.355,31.8,-563,28,4,14,3380,4
201506,74.9,강남구,91.3,93.842,27.9,-364,28,4,14,3380,4
201507,75.3,강남구,91.8,97.429,23.3,364,28,4,14,3380,4
201508,76,강남구,92.4,100.71,20.8,-16,28,4,14,3380,3
201509,76.4,강남구,92.8,104.15,23.2,-397,28,4,15,3380,3
201510,76.9,강남구,93.4,77.362,26.5,102,28,4,15,3380,3
201511,77.5,강남구,94.3,81.656,24.9,-298,28,4,15,3380,3
201512,77.7,강남구,94.7,88.214,30.9,-680,28,4,15,3380,3
201601,77.6,강남구,95.1,95.086,28.8,-280,28,4,15,3032,3
201602,77.6,강남구,95.4,98.881,22.6,-381,28,4,15,3032,4
201603,77.6,강남구,95.5,101.72,21,-906,28,4,15,3032,3
201604,77.8,강남구,95.6,104.54,23.2,-602,28,4,15,3032,3
201605,78.2,강남구,95.9,78.065,27.4,-586,28,4,15,3032,3
201606,78.8,강남구,96.3,82.593,23.1,-366,28,4,15,3032,3
201607,79.5,강남구,96.3,89.515,27.7,-362,28,4,15,3032,2
201608,80.1,강남구,96.1,95.59,25.7,-167,28,4,15,3032,2
201609,80.7,강남구,96.1,98.727,21.2,-448,28,4,15,3032,2
201610,81.5,강남구,96.3,103.07,20.6,-357,28,4,15,3032,2
201611,81.9,강남구,96.4,104.91,22.6,-684,28,4,15,3032,2
201612,81.8,강남구,96.6,78.846,23.1,-797,28,4,15,3032,0
201701,81.7,강남구,96.7,85.013,29.5,-115,28,4,15,2677,0
201702,81.7,강남구,96.8,91.227,31.3,-228,28,4,15,2677,0
201703,81.8,강남구,96.9,96.907,26.7,-294,28,4,15,2677,0
201704,82,강남구,97,99.82,23.9,-311,28,4,15,2677,0
201705,82.3,강남구,97.2,103.78,22.2,-411,28,4,15,2677,0
201706,83.2,강남구,97.5,75.775,23.6,-344,28,4,16,2677,0
201707,83.9,강남구,97.8,79.704,28.1,-264,28,4,16,2677,0
201708,84.7,강남구,98.1,86.028,30.4,-354,28,4,16,2677,0
201709,84.6,강남구,98.2,92.94,31.5,-793,28,4,16,2677,0
201710,85.1,강남구,98.5,97.114,27.1,-756,28,4,16,2677,0
201711,86,강남구,98.7,100.18,23.6,-930,28,4,16,2677,0
201712,87.1,강남구,99.1,104.31,22.9,-880,28,4,16,2677,0
201801,89.2,강남구,99.5,76.887,25.3,-463,28,4,16,2519,0
201802,91.1,강남구,99.8,80.251,28.7,-449,28,4,16,2519,0
201803,93.1,강남구,99.9,87.589,31.5,-853,28,4,16,2519,0
201804,94.3,강남구,100,94.382,30.4,-841,28,4,16,2519,0
201805,94.8,강남구,99.6,98.114,27.6,-1191,28,4,16,2519,0
201806,95,강남구,99.5,100.92,25.2,-744,28,4,16,2519,0
201807,95.3,강남구,99.5,105.7,24.5,-485,28,4,16,2519,0
201808,96.5,강남구,99.6,78.065,27.4,-235,28,4,16,2519,0
201809,99.5,강남구,100.1,81.89,28.3,-449,28,4,16,2519,-
201810,100.2,강남구,100.4,88.135,30.9,-148,28,4,16,2519,-
201811,100.3,강남구,100.5,95.608,28.3,-631,28,4,17,2519,0
201812,100.2,강남구,100.2,98.989,26.3,-236,28,4,17,2519,0
201901,100,강남구,100,101.73,23.4,-156,28,4,17,2519,0
201902,99.5,강남구,98.9,104.86,23.6,64,28,4,18,2519,0
201903,98.9,강남구,98,78.533,27.1,-146,28,4,18,2519,0
201904,98.5,강남구,97.6,83.295,25.6,77,28,4,18,2519,-
201905,98.3,강남구,97.5,89.875,27.4,131,28,4,18,2519,20
201906,98.2,강남구,97.4,96.807,30.2,144,28,4,18,2519,-
201907,98.8,강남구,97.4,99.49,25.5,166,28,4,18,2519,0
201908,99.3,강남구,97.4,103.12,22.8,455,28,4,20,2519,0
200701,81.7,강동구,58.5,96.925,23,118,10,1,0,3216,-
200702,81.8,강동구,58.7,100.33,22.5,113,10,1,0,3216,-
200703,81.8,강동구,58.9,104.32,23.6,307,10,1,0,3216,-
200704,81.1,강동구,59.1,76.821,25.4,-70,10,1,0,3216,-
200705,79.9,강동구,58.8,80.094,26.6,23,10,1,0,3216,-
200706,79.9,강동구,58.7,87.589,29.7,-29,10,1,0,3216,-
200707,80,강동구,58.5,94.473,25.7,60,10,1,0,3216,-
200708,79.9,강동구,58.5,97.574,23.5,345,10,1,0,3216,-
200709,79.9,강동구,58.5,100.88,22.9,42,10,1,0,3216,-
200710,79.8,강동구,58.5,105.04,23.5,52,10,1,0,3216,-
200711,79.7,강동구,58.5,77.675,26,-116,10,1,0,3216,-
200712,79.4,강동구,58.4,81.656,27.6,-145,10,1,0,3216,-
200801,79.4,강동구,58.4,88.057,30.5,106,10,1,0,3154,-
200802,79.3,강동구,58.4,95.482,26.9,-6,10,1,0,3154,63
200803,79.5,강동구,58.7,98.782,23.5,-100,10,1,0,3154,55
200804,79.7,강동구,58.8,101.86,22.9,-26,10,1,0,3154,50
200805,79.5,강동구,58.8,105.07,25.3,2,10,1,0,3154,39
200806,78.6,강동구,58.9,78.221,22.2,-99,10,1,0,3154,33
200807,78.3,강동구,58.8,82.827,27.1,76,10,1,0,3154,31
200808,78.1,강동구,58.6,89.875,30.3,50,10,1,0,3154,31
200809,77.7,강동구,58.1,96.158,25.9,6,10,1,1,3154,81
200810,76.6,강동구,56.4,98.845,22.8,667,10,1,1,3154,81
200811,75.1,강동구,54.7,102.98,23.1,606,10,1,1,3154,81
200812,72.4,강동구,52.3,105.21,27.4,205,10,1,1,3154,73
200901,72.6,강동구,51.8,79.08,26.9,252,10,1,1,3343,74
200902,73.2,강동구,53.4,85.403,29.8,477,10,1,1,3343,72
200903,73.6,강동구,54.7,91.227,29.2,167,10,1,1,3343,62
200904,75.2,강동구,55.7,97.177,25.8,525,10,1,1,3343,66
200905,75.5,강동구,55.8,99.83,21.9,673,10,1,1,3343,60
200906,75.9,강동구,55.9,103.52,22.4,630,10,1,1,3343,50
200907,77.3,강동구,56,75.709,27.1,719,10,1,1,3343,55
200908,78.3,강동구,56.7,80.173,25.8,1072,10,1,1,3343,53
200909,80,강동구,58.3,86.184,26.9,535,10,1,1,3343,42
200910,80.1,강동구,59,93.03,28.3,403,10,1,1,3343,42
200911,79.6,강동구,59.7,97.465,23.6,232,10,1,1,3343,30
200912,79.6,강동구,59.8,100.55,21.2,62,10,1,1,3343,26
201001,80.3,강동구,60.3,104.55,24,177,10,1,1,3473,26
201002,80.9,강동구,61.1,77.019,24.2,167,10,1,1,3473,25
201003,80.9,강동구,61.8,80.719,24,-162,10,1,2,3473,26
201004,80.6,강동구,62.3,87.589,28,162,10,1,2,3473,24
201005,79.9,강동구,62.5,94.292,26.1,59,10,1,2,3473,323
201006,79.5,강동구,62.7,98.313,21.6,112,10,1,2,3473,323
201007,79.2,강동구,62.7,100.87,21,91,10,1,2,3473,323
201008,78.7,강동구,62.8,105.33,23.7,-145,10,1,2,3473,323
201009,78.6,강동구,63.3,78.065,24.8,-107,10,1,2,3473,422
201010,78.5,강동구,64.3,81.968,24.9,-213,10,1,2,3473,330
201011,78.9,강동구,65.6,88.447,26.9,-383,10,1,2,3473,321
201012,79.2,강동구,65.8,95.644,25.6,-308,10,1,2,3473,363
201101,79.4,강동구,66.2,99.232,21,-8,10,1,2,3436,345
201102,79.8,강동구,67.1,101.89,21.9,657,10,1,2,3436,322
