"row","col","coeff"
1,3,0.385706547533216
1,15,0.0998759125636369
1,39,0.0380328487504003
1,45,0.00269096774662419
1,51,0.103013709717177
2,5,0.34323397683552
2,17,0.192926211510234
2,35,0.0771062579789953
2,56,0.143285894024553
3,4,0.0229902831808652
3,6,0.448782065640108
3,18,0.141922580286661
3,57,0.135969697092406
4,3,0.0567593743910716
4,7,0.360526608616231
4,19,0.105395344642019
4,36,0.130712512223476
4,57,0.00020943463395991
4,58,0.0979265013319601
5,2,0.542073239873928
5,7,0.000393111744512245
5,47,0.199674534100774
6,3,0.487434019632673
6,7,0.0610346163812655
6,39,0.198074418350101
7,4,0.499082862854787
7,6,0.126016551047339
7,40,0.121832704840559
8,26,0.325632970715543
8,29,0.414283755596354
9,10,0.245513776679877
9,12,0.293040011995029
9,30,0.210534884563358
10,8,0.108435336964453
10,9,0.34597207463129
10,28,0.00648226216413223
10,31,0.296265799868141
11,44,0.0459847851813339
11,59,0.225524184006917
11,68,0.490333802809479
12,9,0.0869395706342293
12,13,0.231835925668629
12,15,0.0809799057112114
12,30,0.136714875497992
12,60,0.158362884341359
12,69,0.060019839742104
13,10,0.00609957113617902
13,11,0.0284423430584352
13,12,0.327542457202034
13,31,0.261594409281732
13,35,0.0155824532669317
13,61,0.117678741115421
13,70,0.00020984413420846
14,20,0.353348641674803
14,44,0.393112993232106
15,21,0.482110179202166
15,36,0.120923765934206
15,45,0.14466740453063
16,15,0.000186266467716885
16,22,0.509687968217677
16,37,0.0519025155850961
16,46,0.184707612523185
17,2,0.394438024751399
17,50,0.267511129992935
17,56,0.0854655210965291
18,3,0.221797932547498
18,19,0.170344177832344
18,51,0.316697943841073
18,57,0.0421419710893047
19,4,0.0338506794113002
19,18,0.167779815928514
19,37,0.155616571325401
19,52,0.270959297910978
19,58,0.121946806916906
20,14,0.415523221328847
20,41,0.181725482528866
20,44,0.0301380744389426
20,53,0.0861009108565584
20,62,0.0364356832930204
21,15,0.445997326001372
21,42,0.30306320193136
22,16,0.465948806427223
22,37,0.0122999485489803
