"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79"
0,0,0.385706547533216,0,0,0,0,0,0,0,0,0,0,0,0.0998759125636369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380328487504003,0,0,0,0,0,0.00269096774662419,0,0,0,0,0,0.103013709717177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.34323397683552,0,0,0,0,0,0,0,0,0,0,0,0.192926211510234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771062579789953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143285894024553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0229902831808652,0,0.448782065640108,0,0,0,0,0,0,0,0,0,0,0,0.141922580286661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135969697092406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0567593743910716,0,0,0,0.360526608616231,0,0,0,0,0,0,0,0,0,0,0,0.105395344642019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130712512223476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020943463395991,0.0979265013319601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.542073239873928,0,0,0,0,0.000393111744512245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199674534100774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.487434019632673,0,0,0,0.0610346163812655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198074418350101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.499082862854787,0,0.126016551047339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121832704840559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325632970715543,0,0,0.414283755596354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.245513776679877,0,0.293040011995029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210534884563358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.108435336964453,0.34597207463129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00648226216413223,0,0,0.296265799868141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0459847851813339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225524184006917,0,0,0,0,0,0,0,0,0.490333802809479,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0869395706342293,0,0,0,0.231835925668629,0,0.0809799057112114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136714875497992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158362884341359,0,0,0,0,0,0,0,0,0.060019839742104,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.00609957113617902,0.0284423430584352,0.327542457202034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261594409281732,0,0,0,0.0155824532669317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117678741115421,0,0,0,0,0,0,0,0,0.00020984413420846,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353348641674803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393112993232106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482110179202166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120923765934206,0,0,0,0,0,0,0,0,0.14466740453063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000186266467716885,0,0,0,0,0,0,0.509687968217677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0519025155850961,0,0,0,0,0,0,0,0,0.184707612523185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.394438024751399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267511129992935,0,0,0,0,0,0.0854655210965291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.221797932547498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170344177832344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316697943841073,0,0,0,0,0,0.0421419710893047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0338506794113002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167779815928514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155616571325401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270959297910978,0,0,0,0,0,0.121946806916906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.415523221328847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181725482528866,0,0,0.0301380744389426,0,0,0,0,0,0,0,0,0.0861009108565584,0,0,0,0,0,0,0,0,0.0364356832930204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445997326001372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30306320193136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465948806427223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122999485489803,0,0,0,0,0,0.262187044025289,0,0,0,0,0,0,0,0,0,0,0,0.00856933147938602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509340157374424,0,0,0,0,0,0.235077696411251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110961545945991,0,0.444633510906015,0,0,0,0,0,0.200069039100985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0825403069013067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474649534416579,0,0,0,0,0,0.195492637995251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.25546580831191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419828292321347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0728058821906728,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526032708202292,0,0,0,0,0,0.216907511626779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.610316781053636,0,0,0,0,0,0.126444019022883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.408076987819683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340178526706362,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.160229865777804,0,0,0.107465075583755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172643172276565,0,0,0,0.049995437261528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258596665313721,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.105150427279558,0,0,0.186206490681068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167384804619429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28790950140011,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252509019267143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533424185420538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0740773497458206,0,0,0,0,0,0.124220853948167,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0660300147396231,0,0,0.0177903392838559,0,0,0,0,0,0,0,0,0,0.0697968214278378,0,0,0,0,0,0,0,0.594764610050732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516269831602603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63606053989676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605503717525026,0,0,0,0,0
0,0.0547553314997742,0,0,0,0,0,0,0,0,0,0,0.0604469524453912,0,0,0,0.181668016366021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240882658430083,0,0,0,0,0,0.215993658457644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.103732767795811,0,0,0,0,0,0,0,0,0,0,0.14824221422208,0,0,0.136146484384345,0.0108725203425855,0,0.0272629849488326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748166077013991,0,0,0,0,0,0,0,0.128682048600008,0,0,0,0,0,0.122131455313108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
