"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
0,0,-0.259857240295411,-0.121891089957518,-0.0307893190797685,-0.35201859613642,-0.999161758915103,-0.348483982599086,0.198784910110913,-0.421526361963671,-0.00560140049436358,0,-0.513253720982878,0.167320761994733,-0.0543097016092604,-0.114235662679641,0,0,0.0634328626391654,0,0,-0.506198598211417,-0.296073731521926,0.388145680429409,-0.0651372436496633
0,0,-0.869788578445202,-0.284466953922895,-0.168482702052971,-0.113160384947263,-0.0709377208875993,-0.00647080099548153,-0.0484039559903818,-0.657222100503554,0,-0.110596978599683,-0.313172492071026,-0.25572956108104,-0.322620653753708,-0.640753317197197,-0.271538904398356,-0.194751367678025,-0.861086844628926,-0.768015765147603,-0.659411880736042,-0.248525322882834,-0.396294740753488,-0.798746551764211,-0.76600605307376
-0.157175814339053,-0.208168146720207,0,-0.0129099614481517,-0.0873285348593561,0,0,0,-0.0201518221688608,-0.0471022649647665,0,-0.0792368755880793,0,0.0640844295777644,0,0,0.154945372529798,-0.10711341497593,-0.105878296507938,0.0722747223003012,-0.425193232716715,0.102828378807954,0,-0.0948725865242082,-0.0735904954519604
-0.167850994085418,-0.204464511846816,-0.142299722501688,0,-0.285768234284311,-0.566620962000917,0,0,-0.475180569752739,0,-0.352501186919657,-0.537434168149594,-0.0686135016167042,-0.651466889630953,-0.156047363229539,-0.285303605329594,-0.343023513200025,-0.103643796842356,0.0165139842999818,-0.239567181137614,-0.158542056744022,-0.229381202991211,0,-0.809978106227258,-0.538283201125677
-0.0242198638771218,-0.0358834253192669,0,-0.0605639286122457,0,0,0,0,-0.162231408581737,0,-0.250386931634434,-0.0488426073759513,0,-0.247205090725313,-0.142776948205546,-0.108631086440948,0.000230764177710834,-0.168787879391448,0.0290412277156204,0,0,0.0842249698483863,0,-0.327432839393933,0.166637954108071
-0.0259898121845082,-0.00729058505645997,0,-0.161701436095822,0,0,-0.213046017011643,0,-0.491422427975191,0.105138812832123,0.0677162778611806,-0.0290824572726306,-0.00471639573861303,-0.201816081313026,0.0282472579043365,0.383341405042207,-0.415998735147168,0.013699309103499,0,0,0.0261181861977452,-0.100801802595078,-0.195492975403023,-0.0428607967239871,0
-0.352610144174858,-0.0303993092945083,0,0,0,-0.173546230223851,0,0,0.130137533781318,0,-0.0677330096757406,0.244427129505694,-0.218356770399842,-0.02026934869988,0,0.0564800352972793,0,-0.15141189418891,0.037808475865583,0.178266610569413,0.0584619122020033,-0.356516716962535,-0.142804701648986,0.247772955286451,-0.00915722834803594
-0.274465327519892,-0.00271012644515686,0,0,0,-0.00527224211939105,0.0936485794356173,0,-0.0278352347400104,-0.194475855984904,0,0,-0.085604061818222,0,-0.121013571753216,0,-0.145693106460677,-0.0171878386848677,0.0329387723602333,-0.451849502739388,-0.178297641133022,0,0.0136907946541353,0.272814656610286,0.162914184618314
0.140438808139018,0,-0.0426235495431917,-0.0694552719462379,-0.15658451069676,-0.429858489100057,0.172349864415934,-0.0734244892487809,0,0.826689259040986,0.0718199871890853,-0.322085796151247,0,-0.155611506008763,-0.0360354106453208,0,-0.283128773729825,0,0,0.286706572994226,-0.06496328107429,0,0,-0.149419815610426,0
-0.129561901483746,-0.0256326831801099,0,0,0.0171589308613178,0,0,0,0.465675475139941,0,0,0,-0.033183620512574,0,0,-0.050241757813114,0.0638499823961543,0,-0.119547448205351,-0.14472859550978,0.00634219675641349,0,-0.0659971394872775,0,0.012643738544485
