"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
0,0.23640536669692,-0.292989358784628,0,0,0,-0.423446884367117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.748036583409528,0,-0.114226533409535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.372875924512243,0,-0.272766430808974,-0.101758239648387,0,0,0
-0.100997344370058,0,0,0,0,0,0,0,0,0,0,0,0.130941404452244,0,0,0,0.010046241559799,0,0,0.0769042454062297,0,0.0317311211824386,0,0,0
0,0,0,0,0,0,0,0,0,0,-0.0177119470067582,0,0,-0.706087758002478,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103788196027363,0,0,0,0,0,0.168819057206887
0,0,0,0,0,0,0,0,0,-0.0276081333847392,0,0,0,0,0,0.282813313332678,-0.0630803428231287,0,0,0,0,0,0,0,0
-0.172616582738669,0,0,0,0,0,0,0,0.0328285104463696,0,0,0,0,-0.0647727355257225,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165996757749283,-0.118776971691941,0,0,0.116489379099401,0,0.229999354296968
0,0,0,0,-0.0189206015963805,0,0,0,0,1.0380169860683,0,0,0,-0.0102540769329123,0,0,0,0,0,0.0937967564568239,0,0,0,0,0
0,0,0,0,0,0,0,0,0.173736958134001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0162016766876393,0,0,-0.183701833138295,0,0,0,0,0,0,0.00755163199338867
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0221981079676561,0,0.233187358876448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.403172568745423,0,0
0,0,0,-0.390909830028071,0,0,-0.000673168890234657,0,-0.00229184577495196,0,0,0,0,0,-0.0263197226276645,-0.117210222587342,0,0,0,0,0,0.0790516567266441,0,0,0
0,0,0,0,-0.167317616165086,0,0,0,0,0,-0.059237204591479,0,0,-0.239082319790258,0,0,0,0.0399328453884715,0,0,0,0,0,0,-0.344394532455068
0,0,0,0,0,0.20624476238903,0,0,0,0,0,0,0,-0.124214650195894,0,0,0,0.164353010655947,0,0.0954474248862377,0,0,0,0,0
0,0,0,0,0,-0.227005693483199,0,0,0,0,0,0.0993795920977329,0,0.00740606369471601,0,0,0,0,0,0,-0.137712958272785,0,-0.0171237124185834,0,0
0,0.146410327744028,0,0,-0.297429803676157,0.28801644465968,0,-0.0735685657191538,0,0,-0.685033639957243,0,0,0,0,0.385738782164913,0,0,0,0,-0.210177585054956,-0.0121014850213111,0,0,0
0,-0.0137076797355914,0,0,0.349595044650708,0,0,0.401732267970623,0,-0.0185158502942939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0746064279682951,0,0,0,0.0749367318447345,-0.0503914302167087,0.237263840025666,0,0,0,0.0631155026319338,0,0,0.0864721585113065,0,0,0,0,0,0,-0.36116160966222,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0311306270778852,0,0,0,0,0.131496264276767,0.307541481096819,0.120493159552503
0,0,0.477145124237093,0,0,0,0,0,0,0,0,0,0,0.462890854584398,0,0,0,-0.0225693803279051,0,0,0,0,0,0.626444643417643,0
0,0,0,0,0,0,0,0.40054075977234,0,0,0,0,-0.398398619131569,0,0,0,0,0,0,-0.239809693239901,0.116531021266616,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226643073373505,0.0641668504330985,0,0,0
0,0,0,0,0.50768153875827,0,0,0.401674960546926,0,0,0.135212827589292,0,0,0,-0.242699793321051,0,0,0,0,0,0.139607336539601,0,0,0,0
