"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
0,0.134849274915893,-0.479607973673779,-0.0870773858624544,-0.172124146237431,-0.255905513672219,-0.632015180928441,-0.317725975212584,0,-0.192207247908084,0,0,-0.228238876737937,0.0233308733961974,0,-0.00200121880572867,0,0,0,0,0,-0.0543238618266843,0,0.0354686662612388,0
0.400083221608042,0,-0.857804490898563,0,0,0,0,0,0,-0.132964477343702,0,0.031647277917514,-0.067530348256749,0,0,-0.285521520345548,0,0,-0.664923968555812,-0.303856008078405,-0.691689059545733,0,0,-0.382953796551031,-0.223594682380229
-0.16647492241593,-0.102382381845384,0,0,0,0,0,0,0,0,0,-0.0293252022872352,0.0308824408753652,0,0,0,0.169621173521495,0,0,0.149604861983365,-0.276540639954197,0.157645400643803,0,0,0
-0.0425343016161465,0,0,0,0,-0.159794466013052,0,0,0,0,-0.276250566557599,-0.0571543221038499,0,-0.650616138705887,0,0,0,0,0.16241500496402,0,-0.0337312216337765,-0.0241207762257216,0.220577385982452,-0.364152032885851,-0.197230498416398
-0.124976724129353,0,0,0,0,0,0,0,-0.00102231183656622,0,0,0.0155726273256688,0,0,-0.0215470847183442,-0.0595966113442357,0.0628522557349263,-0.00724030202152925,0.186597764920264,0,0,0,0,-0.0348885170573354,0.206575553436462
0,0,0,-0.0671467780477737,0,0,-0.0190089206228395,0,-0.328570892891023,0,0,0,0,0,0,0.399209763827999,-0.384986469686401,0.110166775049027,0,0,0,0,-0.0507543043588677,-0.0182310942337804,0
-0.281888854516672,-0.0562467069320322,0,0,0,-0.0833255997138663,0,0,0.245022660869555,0,0,0.279921416619399,-0.052539156904765,-0.117052083620463,0,0,0,-0.0167047348280083,0,0,0.0539725561757182,-0.143879965387605,0,0,0
-0.194078516764193,0,0,0,0,0,0,0,-0.0335099535763494,0,0,0,0,0,-0.089924504553167,0,-0.079695890449159,0,0.136719342686389,-0.341820502348857,0,0,0.0912356418058044,0.144704102434635,0.138403628399148
0.0847644321683877,0,0,0,-0.0904698568918565,-0.284215413944706,0.0059673850397654,-0.000400621145459576,0,1.03474416055776,0.00812344222644905,-0.206905762054092,0,-0.0737040150240748,0,0,-0.182516785945853,0,0,0.300215944809212,0,-0.0562137737943712,0,0,0
-0.057971031517652,0,0,0,0,-0.0242749258181553,0,0,0.37516434352101,0,0,0,0,0,0,0,0.0218191140996212,-0.00585784805403015,-0.00431996557712939,0,0,0,0,0,0
0,0.0496163200100417,0,-0.117482037260731,0,0,0,0,0.0401229292910731,0,0,-0.330017315641479,0,0,-0.0911070888849718,0,-0.0249359216350452,-0.190074496514746,0,0,0,0,0.029927870973148,0,0.0823299416487173
0,0,0,-0.0377685770035459,0,0,0.191215283062095,0,-0.184566890768998,0,-0.183574768707242,0,0,0,0,-0.293033332076702,0.0158637516824765,0,0,0,0,0,-0.0471124205884616,-0.305338418202191,0
-0.361016337845897,-0.0017535880411525,0.0154843889605823,0,0,0,-0.332582464807376,0,0,-0.0590325854855965,0,0,0,0.367169280737642,-0.0297394407507111,0,0,0,0,0.284714860137514,0,-0.158111253627531,-0.399305852804838,-0.0685951619234862,0
