"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
0,0.209148204116777,-0.434183292246766,-0.00221102748281814,-0.145490563656888,-0.142678176465972,-0.617618017135575,-0.0873317067394193,0,0,0,0,-0.109055161454026,0,0,0,0,0,0,0,0,0,0,0.0228807481566238,0
0.575820318662799,0,-0.791885836353644,0,0,0,0,0,0,0,0,0,-0.0254428670274605,0,0,0,0.132229475724106,0,-0.489368824464399,-0.0884474224105099,-0.584955415621506,0,0,-0.178240115110142,-0.0493000689885791
-0.177544872246978,-0.0538759319152411,0,0,0,0,0,0,0,0,0,0,0.0512706757838625,0,0,0,0.129259751253274,0,0,0.14319449329689,-0.193713542182327,0.141972202958979,0,0,0
0,0,0,0,0,-0.135544775174491,0,0,0,0,-0.231217092418015,0,0,-0.794015292760919,0,0,0,0,0.0357892017950139,0,0,0,0.0536049100521805,-0.150915659825779,-0.00973394545528835
-0.0912137759683994,0,0,0,0,0,0,0,0,0,0,0.0453984524054742,0,0,-0.0427205495150264,-0.0222507270969789,0,-0.0162871287874641,0.158996804455843,0,0,0,0,0,0.174206628956543
0,0,0,-0.0253666543226374,0,0,0,0,-0.252306195944823,0,0,0,0,0,0,0.37556714015414,-0.288511702192532,0.100263686317049,0,0,0,0,-0.00280347276789473,0,0
-0.259295720750726,-0.0358248424042279,0,0,0,-0.0585418772856038,0,0,0.16450180381849,0,0,0.141611525869138,-0.00849859185795767,-0.116227795238435,0,0,0,-0.0236931223667766,0,0,0,-0.110199996018866,0,0,0
-0.113254801721337,0,0,0,0,0,0,0,-0.00250292187130567,0,0,0,0,0,-0.0280205368703954,0,0,0,0.171483242463534,-0.239662325748263,0,0,0.110871420777255,0.139575962973721,0.215688853145769
0.0048158285883764,0,0,0,-0.119285312295378,-0.103316793934234,0,-0.0253919854262855,0,1.12349013064572,0,-0.124932835231291,0,-0.0747642461326401,0,0,-0.0779877396380464,0,0,0.168668902523826,0,-0.0170751137800985,0,0,0
-0.0255562188917649,0,0,0,0,0,0,0,0.338902006582466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-0.0993443148380426,0,0,0,0,0,0,0,-0.254922091339247,0,0,-0.0683004855091468,0,0,-0.173398726980172,0,0,0,0,0.0390966680907811,0,0.0452561142908887
0,0,0,0,0,0,0.0774082440404589,0,-0.108925307555553,0,-0.0736972089246511,0,0,0,0,-0.166325112056095,0.052437833520973,0,0,0,0,0,-0.00637670438444421,-0.226829841673658,0
-0.182200663595638,0,0.0638872251732284,0,0,0.0500421166942056,0,0,0,0,0,0,0,0.270711760752243,0,0,0,0,0,0.112372666628848,0,0,-0.43228722193537,-0.178730139717558,0
0,0,0,-0.378652751715487,0,-0.0219237705008545,-0.154481803749219,0,-0.0656381623857125,0,0,0,0.0638089940638561,0,-0.116356317116121,-0.158453962626333,0.0772680617428108,0,0,0,0,0.0961159122216154,0,0,0
0,0,0,0,-0.282591795141419,0.0951245685028802,0,-0.0371565333386169,0,0,-0.192662964332194,0,0,-0.334094009760295,0,0,0,0,-0.0708862135306714,0,0,0,0,0,-0.303307424865304
-0.0472215863320704,0,0,0,0,0.289312399549702,0.0770488782710058,0,0,0,0,-0.330247799533888,0,-0.110972551081826,0,0,0,0.227622933109219,0,0.137892081790138,0,0,0,-0.0244754043086497,0
0,0,0.104327030383821,0,0,-0.57745631382348,-0.095043637265341,-0.143339150436965,-0.298338108857226,0,0,0.208178251878596,0,0,0,0,0,0,-0.0906673359309507,0,-0.193856345125019,0,-0.026239869574273,0,-0.0313844103491294
0,0.0971191794877394,0,0,-0.353442109330876,0.418067006523317,-0.187914954698199,-0.0927950723624996,0,0,-0.774479219883595,0,0,0,0,0.249534601368798,0,0,-0.0599369571245202,0,-0.307762257703198,-0.152595561198012,0,0,0
0,-0.162313403298389,0,0.0655189124676589,0.368040633150623,0,0,0.23295861271206,0,-0.43410605494988,0,0.0515037750801679,-0.132496642703976,0,-0.0117085122715943,-0.0965423542138484,0,0,0,0,0,0,0,0,0
-0.027753898032983,0,0.15364360157051,0,0,0,0.250744407334035,-0.216898721338335,0.22931756845488,0,0,0,0.135812836627653,0,0,0.126312199515358,-0.016206918009556,0,0,0,0,0,-0.28826542027449,0,0
0,-0.05494462367981,-0.278538836527803,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017274337472196,-0.109641119603342,0,0,0,0,0.0678468119541016,0.387690783938547,0.113963421232387
-0.023200119320935,-0.0127427664733887,0.721272447921853,-0.00527239784676573,0,0,-0.427115547201149,0,0,0,0,0,0,0.14856870231034,0,-0.138624116923915,0,-0.205584916726592,0,0,0,0,-0.155634281536372,0.83808345416525,0
0,0,0,0.104870823596068,0,-0.0653432047973116,0,0.421876202940459,0,0,0.168280592066154,-0.157890307917492,-0.322913545237649,0,0,0,0,0,0,-0.311654227584,0.236888379573735,-0.0978689417653235,0,0,0.00768952499325806
0.060373355522475,0,0,0,0,0,0,0,0,0,0,-0.169401106370112,-0.0587534146566012,0,0,0,0,0,0,-0.0111859144775948,0.288927184572433,0.178190389833867,0,0,0
0,0,0,-0.109527134282771,0.627511961198948,0,0,0.384624900720238,0,0,0.233457138183726,0.0859485644842965,0,0,-0.267210285833845,0,-0.107563517137051,0,0,0,0.217339224863667,-0.132052511359185,0,-0.0721885134230553,0
