"row","col","coeff"
1,2,0.194932502021229
1,3,-0.150990825209623
1,7,-0.271034137461495
2,1,0.649189795612175
2,18,0.0900362570451273
2,19,-0.289235096722172
2,21,-0.0123363289865216
2,22,-0.0207259021241493
3,1,-0.00915460426669593
3,13,0.0929921468968262
4,14,-0.550908034066402
5,19,0.0168637577739901
5,25,0.107624342293114
6,16,0.119361318127132
7,1,-0.0452015668914546
8,19,0.103520075607192
8,20,-0.0678777629342056
8,23,0.0981650972953619
8,25,0.194775644749945
9,10,0.818616453589476
9,20,0.013296793991562
10,9,0.00484127687369051
11,18,-0.10544826817948
13,3,0.12737469907267
13,23,-0.329724866861185
14,4,-0.33384117490487
14,16,-0.0451841532757192
14,22,0.0260024670036426
15,5,-0.000217706355425707
15,14,-0.126585573762842
15,18,0.0537180066367828
15,25,-0.340911728078975
16,6,0.0532592471185427
16,14,-0.0331692668177125
16,18,0.175682210075559
18,2,0.10317374389674
18,5,-0.249668458070431
18,6,0.0873561342350194
18,8,-0.0555103081185368
18,11,-0.611216872372311
18,16,0.465808346438747
18,21,-0.124906386628671
19,5,0.234782284771383
19,8,0.320838416797741
20,9,0.170957386265826
20,16,0.00501348920626182
20,23,-0.388749207746646
21,18,-0.0314106737285573
21,23,0.11634446335202
21,24,0.135710897597963
21,25,0.0467973134332963
22,3,0.19372300510893
22,14,0.429622534565345
22,24,0.342067164695457
23,8,0.332540516474792
23,13,-0.320740867521033
23,20,-0.244131732738869
23,21,0.0573058654520532
24,21,0.0764791989202405
25,5,0.37231582650163
25,8,0.422654643530839
25,11,0.0301456768912883
25,15,-0.233090766905426
25,21,0.0578464236981032
