"row","col","coeff"
1,2,0.209148204116777
1,3,-0.434183292246766
1,4,-0.00221102748281814
1,5,-0.145490563656888
1,6,-0.142678176465972
1,7,-0.617618017135575
1,8,-0.0873317067394193
1,13,-0.109055161454026
1,24,0.0228807481566238
2,1,0.575820318662799
2,3,-0.791885836353644
2,13,-0.0254428670274605
2,17,0.132229475724106
2,19,-0.489368824464399
2,20,-0.0884474224105099
2,21,-0.584955415621506
2,24,-0.178240115110142
2,25,-0.0493000689885791
3,1,-0.177544872246978
3,2,-0.0538759319152411
3,13,0.0512706757838625
3,17,0.129259751253274
3,20,0.14319449329689
3,21,-0.193713542182327
3,22,0.141972202958979
4,6,-0.135544775174491
4,11,-0.231217092418015
4,14,-0.794015292760919
4,19,0.0357892017950139
4,23,0.0536049100521805
4,24,-0.150915659825779
4,25,-0.00973394545528835
5,1,-0.0912137759683994
5,12,0.0453984524054742
5,15,-0.0427205495150264
5,16,-0.0222507270969789
5,18,-0.0162871287874641
5,19,0.158996804455843
5,25,0.174206628956543
6,4,-0.0253666543226374
6,9,-0.252306195944823
6,16,0.37556714015414
6,17,-0.288511702192532
6,18,0.100263686317049
6,23,-0.00280347276789473
7,1,-0.259295720750726
7,2,-0.0358248424042279
7,6,-0.0585418772856038
7,9,0.16450180381849
7,12,0.141611525869138
7,13,-0.00849859185795767
7,14,-0.116227795238435
7,18,-0.0236931223667766
7,22,-0.110199996018866
8,1,-0.113254801721337
8,9,-0.00250292187130567
8,15,-0.0280205368703954
8,19,0.171483242463534
8,20,-0.239662325748263
8,23,0.110871420777255
8,24,0.139575962973721
8,25,0.215688853145769
9,1,0.0048158285883764
9,5,-0.119285312295378
9,6,-0.103316793934234
9,8,-0.0253919854262855
9,10,1.12349013064572
9,12,-0.124932835231291
9,14,-0.0747642461326401
9,17,-0.0779877396380464
9,20,0.168668902523826
9,22,-0.0170751137800985
10,1,-0.0255562188917649
10,9,0.338902006582466
11,4,-0.0993443148380426
11,12,-0.254922091339247
11,15,-0.0683004855091468
11,18,-0.173398726980172
11,23,0.0390966680907811
11,25,0.0452561142908887
12,7,0.0774082440404589
12,9,-0.108925307555553
12,11,-0.0736972089246511
12,16,-0.166325112056095
12,17,0.052437833520973
12,23,-0.00637670438444421
12,24,-0.226829841673658
13,1,-0.182200663595638
13,3,0.0638872251732284
13,6,0.0500421166942056
13,14,0.270711760752243
13,20,0.112372666628848
13,23,-0.43228722193537
13,24,-0.178730139717558
14,4,-0.378652751715487
14,6,-0.0219237705008545
14,7,-0.154481803749219
14,9,-0.0656381623857125
14,13,0.0638089940638561
14,15,-0.116356317116121
14,16,-0.158453962626333
14,17,0.0772680617428108
14,22,0.0961159122216154
15,5,-0.282591795141419
15,6,0.0951245685028802
15,8,-0.0371565333386169
15,11,-0.192662964332194
15,14,-0.334094009760295
15,19,-0.0708862135306714
15,25,-0.303307424865304
16,1,-0.0472215863320704
16,6,0.289312399549702
16,7,0.0770488782710058
16,12,-0.330247799533888
16,14,-0.110972551081826
16,18,0.227622933109219
16,20,0.137892081790138
16,24,-0.0244754043086497
17,3,0.104327030383821
17,6,-0.57745631382348
17,7,-0.095043637265341
17,8,-0.143339150436965
17,9,-0.298338108857226
17,12,0.208178251878596
17,19,-0.0906673359309507
17,21,-0.193856345125019
17,23,-0.026239869574273
17,25,-0.0313844103491294
18,2,0.0971191794877394
18,5,-0.353442109330876
18,6,0.418067006523317
18,7,-0.187914954698199
18,8,-0.0927950723624996
18,11,-0.774479219883595
18,16,0.249534601368798
18,19,-0.0599369571245202
18,21,-0.307762257703198
18,22,-0.152595561198012
19,2,-0.162313403298389
19,4,0.0655189124676589
19,5,0.368040633150623
19,8,0.23295861271206
19,10,-0.43410605494988
19,12,0.0515037750801679
19,13,-0.132496642703976
19,15,-0.0117085122715943
19,16,-0.0965423542138484
20,1,-0.027753898032983
20,3,0.15364360157051
20,7,0.250744407334035
20,8,-0.216898721338335
20,9,0.22931756845488
20,13,0.135812836627653
20,16,0.126312199515358
20,17,-0.016206918009556
20,23,-0.28826542027449
21,2,-0.05494462367981
21,3,-0.278538836527803
21,17,-0.017274337472196
21,18,-0.109641119603342
21,23,0.0678468119541016
21,24,0.387690783938547
21,25,0.113963421232387
22,1,-0.023200119320935
22,2,-0.0127427664733887
22,3,0.721272447921853
22,4,-0.00527239784676573
22,7,-0.427115547201149
22,14,0.14856870231034
22,16,-0.138624116923915
22,18,-0.205584916726592
22,23,-0.155634281536372
22,24,0.83808345416525
23,4,0.104870823596068
23,6,-0.0653432047973116
23,8,0.421876202940459
23,11,0.168280592066154
23,12,-0.157890307917492
23,13,-0.322913545237649
23,20,-0.311654227584
23,21,0.236888379573735
23,22,-0.0978689417653235
23,25,0.00768952499325806
24,1,0.060373355522475
24,12,-0.169401106370112
24,13,-0.0587534146566012
24,20,-0.0111859144775948
24,21,0.288927184572433
24,22,0.178190389833867
25,4,-0.109527134282771
25,5,0.627511961198948
25,8,0.384624900720238
25,11,0.233457138183726
25,12,0.0859485644842965
25,15,-0.267210285833845
25,17,-0.107563517137051
25,21,0.217339224863667
25,22,-0.132052511359185
25,24,-0.0721885134230553
