"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
0,0.194932502021229,-0.150990825209623,0,0,0,-0.271034137461495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.649189795612175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0900362570451273,-0.289235096722172,0,-0.0123363289865216,-0.0207259021241493,0,0,0
-0.00915460426669593,0,0,0,0,0,0,0,0,0,0,0,0.0929921468968262,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,-0.550908034066402,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168637577739901,0,0,0,0,0,0.107624342293114
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119361318127132,0,0,0,0,0,0,0,0,0
-0.0452015668914546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103520075607192,-0.0678777629342056,0,0,0.0981650972953619,0,0.194775644749945
0,0,0,0,0,0,0,0,0,0.818616453589476,0,0,0,0,0,0,0,0,0,0.013296793991562,0,0,0,0,0
0,0,0,0,0,0,0,0,0.00484127687369051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10544826817948,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.12737469907267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.329724866861185,0,0
0,0,0,-0.33384117490487,0,0,0,0,0,0,0,0,0,0,0,-0.0451841532757192,0,0,0,0,0,0.0260024670036426,0,0,0
0,0,0,0,-0.000217706355425707,0,0,0,0,0,0,0,0,-0.126585573762842,0,0,0,0.0537180066367828,0,0,0,0,0,0,-0.340911728078975
0,0,0,0,0,0.0532592471185427,0,0,0,0,0,0,0,-0.0331692668177125,0,0,0,0.175682210075559,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.10317374389674,0,0,-0.249668458070431,0.0873561342350194,0,-0.0555103081185368,0,0,-0.611216872372311,0,0,0,0,0.465808346438747,0,0,0,0,-0.124906386628671,0,0,0,0
0,0,0,0,0.234782284771383,0,0,0.320838416797741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.170957386265826,0,0,0,0,0,0,0.00501348920626182,0,0,0,0,0,0,-0.388749207746646,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0314106737285573,0,0,0,0,0.11634446335202,0.135710897597963,0.0467973134332963
0,0,0.19372300510893,0,0,0,0,0,0,0,0,0,0,0.429622534565345,0,0,0,0,0,0,0,0,0,0.342067164695457,0
0,0,0,0,0,0,0,0.332540516474792,0,0,0,0,-0.320740867521033,0,0,0,0,0,0,-0.244131732738869,0.0573058654520532,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0764791989202405,0,0,0,0
0,0,0,0,0.37231582650163,0,0,0.422654643530839,0,0,0.0301456768912883,0,0,0,-0.233090766905426,0,0,0,0,0,0.0578464236981032,0,0,0,0
