"row","col","coeff"
1,2,0.134849274915893
1,3,-0.479607973673779
1,4,-0.0870773858624544
1,5,-0.172124146237431
1,6,-0.255905513672219
1,7,-0.632015180928441
1,8,-0.317725975212584
1,10,-0.192207247908084
1,13,-0.228238876737937
1,14,0.0233308733961974
1,16,-0.00200121880572867
1,22,-0.0543238618266843
1,24,0.0354686662612388
2,1,0.400083221608042
2,3,-0.857804490898563
2,10,-0.132964477343702
2,12,0.031647277917514
2,13,-0.067530348256749
2,16,-0.285521520345548
2,19,-0.664923968555812
2,20,-0.303856008078405
2,21,-0.691689059545733
2,24,-0.382953796551031
2,25,-0.223594682380229
3,1,-0.16647492241593
3,2,-0.102382381845384
3,12,-0.0293252022872352
3,13,0.0308824408753652
3,17,0.169621173521495
3,20,0.149604861983365
3,21,-0.276540639954197
3,22,0.157645400643803
4,1,-0.0425343016161465
4,6,-0.159794466013052
4,11,-0.276250566557599
4,12,-0.0571543221038499
4,14,-0.650616138705887
4,19,0.16241500496402
4,21,-0.0337312216337765
4,22,-0.0241207762257216
4,23,0.220577385982452
4,24,-0.364152032885851
4,25,-0.197230498416398
5,1,-0.124976724129353
5,9,-0.00102231183656622
5,12,0.0155726273256688
5,15,-0.0215470847183442
5,16,-0.0595966113442357
5,17,0.0628522557349263
5,18,-0.00724030202152925
5,19,0.186597764920264
5,24,-0.0348885170573354
5,25,0.206575553436462
6,4,-0.0671467780477737
6,7,-0.0190089206228395
6,9,-0.328570892891023
6,16,0.399209763827999
6,17,-0.384986469686401
6,18,0.110166775049027
6,23,-0.0507543043588677
6,24,-0.0182310942337804
7,1,-0.281888854516672
7,2,-0.0562467069320322
7,6,-0.0833255997138663
7,9,0.245022660869555
7,12,0.279921416619399
7,13,-0.052539156904765
7,14,-0.117052083620463
7,18,-0.0167047348280083
7,21,0.0539725561757182
7,22,-0.143879965387605
8,1,-0.194078516764193
8,9,-0.0335099535763494
8,15,-0.089924504553167
8,17,-0.079695890449159
8,19,0.136719342686389
8,20,-0.341820502348857
8,23,0.0912356418058044
8,24,0.144704102434635
8,25,0.138403628399148
9,1,0.0847644321683877
9,5,-0.0904698568918565
9,6,-0.284215413944706
9,7,0.0059673850397654
9,8,-0.000400621145459576
9,10,1.03474416055776
9,11,0.00812344222644905
9,12,-0.206905762054092
9,14,-0.0737040150240748
9,17,-0.182516785945853
9,20,0.300215944809212
9,22,-0.0562137737943712
10,1,-0.057971031517652
10,6,-0.0242749258181553
10,9,0.37516434352101
10,17,0.0218191140996212
10,18,-0.00585784805403015
10,19,-0.00431996557712939
11,2,0.0496163200100417
11,4,-0.117482037260731
11,9,0.0401229292910731
11,12,-0.330017315641479
11,15,-0.0911070888849718
11,17,-0.0249359216350452
11,18,-0.190074496514746
11,23,0.029927870973148
11,25,0.0823299416487173
12,4,-0.0377685770035459
12,7,0.191215283062095
